City,Country,Latitude,Longitude,Temperature,Humidity,Wind Speed,Cloudiness
Hithadhoo,MV,-0.6,73.08,83.53,72,7.99,29
Clyde River,CA,70.47,-68.59,-5.8,76,8.05,20
New Norfolk,AU,-42.78,147.06,57.65,51,1.99,5
Lompoc,US,34.64,-120.46,56.08,66,13.87,75
Avarua,CK,-21.21,-159.78,78.8,78,5.82,78
Tasiilaq,GL,65.61,-37.64,28.4,68,5.82,63
Churapcha,RU,62.0,132.43,-11.83,90,5.21,100
Katsuura,JP,35.13,140.3,63.12,72,5.82,75
Rikitea,PF,-23.12,-134.97,71.64,70,15.77,40
Yellowknife,CA,62.46,-114.35,8.24,84,5.82,40
Portland,US,45.52,-122.68,45.75,66,9.1,90
Liaozhong,CN,41.51,122.72,24.8,49,4.47,0
San Policarpo,PH,12.18,125.51,77.63,82,1.83,95
Binzhou,CN,37.37,118.02,41.65,58,5.23,0
Chkalovskoye,RU,44.84,133.04,32.32,94,0.63,79
Hermanus,ZA,-34.42,19.23,59.0,88,7.0,11
Rumonge,BI,-3.97,29.44,72.21,69,5.19,2
Kajaani,FI,64.23,27.73,37.4,69,13.87,0
Jamestown,US,42.1,-79.24,56.95,44,5.82,1
Sarti,GR,40.1,23.98,59.13,69,17.27,64
Danielskuil,ZA,-28.19,23.54,68.2,28,4.76,8
Sarāhan,IN,31.52,77.8,44.71,39,6.26,0
Nikolskoye,RU,59.7,30.79,47.05,81,13.42,90
Vitória da Conquista,BR,-14.87,-40.84,66.27,96,5.77,100
Atbasar,KZ,51.8,68.33,46.06,78,19.28,99
Port Augusta,AU,-32.5,137.77,69.85,59,6.93,1
Monrovia,LR,6.3,-10.8,77.0,94,8.12,20
Khatanga,RU,71.97,102.5,-4.5,86,13.04,4
Husavik,IS,66.04,-17.34,44.6,52,11.41,75
Aga,EG,30.94,31.29,63.09,79,3.2,0
Tuktoyaktuk,CA,69.45,-133.04,26.6,79,21.92,75
Bethel,US,41.37,-73.41,59.13,66,4.27,1
Caravelas,BR,-17.71,-39.25,74.98,92,5.19,1
Calama,CL,-22.47,-68.93,69.8,9,21.92,0
Puerto Ayora,EC,-0.74,-90.35,71.01,74,7.0,2
Mackay,AU,-21.15,149.2,75.2,88,24.16,75
Santa Cruz de la Sierra,BO,-17.8,-63.17,92.17,39,5.82,0
Ribeira Grande,PT,38.52,-28.7,61.48,73,16.58,21
Fairbanks,US,64.84,-147.72,25.59,73,2.55,75
Castro,BR,-24.79,-50.01,64.08,55,4.83,0
Nanortalik,GL,60.14,-45.24,32.18,90,7.67,100
Catuday,PH,16.29,119.81,79.29,85,10.4,100
San Quintín,MX,30.48,-115.95,65.03,55,20.49,2
Buchanan,LR,5.88,-10.05,77.0,94,7.7,20
Saskylakh,RU,71.92,114.08,-8.59,89,7.72,0
Leningradskiy,RU,69.38,178.42,19.11,95,10.09,100
Saint George,US,37.1,-113.58,57.67,20,17.22,1
Faya,SA,18.39,42.45,56.3,66,0.63,0
Yangi Marg`ilon,UZ,40.43,71.72,42.39,60,1.79,70
The Pas,CA,53.83,-101.25,23.0,79,8.05,90
Henties Bay,NA,-22.12,14.28,59.0,92,1.99,0
Bodden Town,KY,19.28,-81.25,80.01,86,15.99,100
Saint-Philippe,RE,-21.36,55.77,66.87,73,6.93,20
Klaksvík,FO,62.23,-6.59,41.0,86,4.7,95
Tiksi,RU,71.69,128.87,-7.37,92,2.26,22
Malazgirt,TR,39.14,42.54,38.3,74,1.99,0
Lugovoy,KZ,42.95,72.76,57.02,30,8.88,100
Beroroha,MG,-21.67,45.17,82.94,43,4.16,15
Hasaki,JP,35.73,140.83,60.62,88,3.36,75
Sinnamary,GF,5.38,-52.95,79.99,81,14.32,98
Tuy Hoa,VN,13.08,109.3,73.74,86,9.06,70
Isangel,VU,-19.55,169.27,84.2,74,5.82,75
Ruidoso,US,33.33,-105.67,64.81,22,21.92,1
Luwuk,ID,-0.95,122.79,80.02,72,5.95,95
Chicama,PE,-7.84,-79.15,64.4,77,9.17,15
Pevek,RU,69.7,170.31,16.14,96,2.3,100
George Town,MY,5.41,100.34,77.9,94,3.36,20
Yulara,AU,-25.24,130.99,75.2,14,9.17,22
East London,ZA,-33.02,27.91,69.93,75,12.62,0
Acurenam,GQ,1.03,10.65,68.92,98,1.66,100
Longyearbyen,SJ,78.22,15.64,28.4,86,3.36,40
Port Hedland,AU,-20.32,118.57,78.8,74,11.41,0
Mataura,NZ,-46.19,168.86,54.0,49,8.01,39
Atuona,PF,-9.8,-139.03,77.81,74,12.8,52
Peniche,PT,39.36,-9.38,61.74,87,8.99,26
Ubari,LY,26.59,12.78,58.37,47,5.91,0
Payakumbuh,ID,-0.22,100.63,70.72,90,1.45,100
Vao,NC,-22.67,167.48,73.58,71,11.81,80
Itarema,BR,-2.92,-39.92,79.86,76,15.14,92
Talnakh,RU,69.49,88.4,17.6,92,22.37,75
Cherskiy,RU,68.75,161.3,5.0,94,6.42,100
Evensk,RU,61.95,159.23,12.99,90,9.95,93
Dongsheng,CN,39.82,109.98,30.04,75,6.58,0
Buíque,BR,-8.62,-37.16,71.78,82,14.05,35
Airai,TL,-8.93,125.41,71.83,44,3.47,69
Kaitangata,NZ,-46.28,169.85,53.01,44,8.99,50
Nesna,NO,66.2,13.02,36.0,93,11.27,98
Changli,CN,39.7,119.15,43.0,57,11.01,0
Coquimbo,CL,-29.95,-71.34,59.0,77,12.75,0
Rawson,AR,-43.3,-65.1,63.1,46,20.36,94
Pisco,PE,-13.7,-76.22,65.68,77,6.93,40
Kuzino,RU,57.02,59.44,31.98,98,6.22,98
Carnarvon,AU,-24.87,113.63,69.8,77,14.99,90
Severo-Kuril'sk,RU,50.68,156.12,36.0,78,3.27,13
Grand Gaube,MU,-20.01,57.66,71.01,77,3.0,48
Entre Rios,BR,-11.94,-38.08,72.59,97,4.41,64
Sistranda,NO,63.73,8.83,42.8,87,10.29,75
Itoman,JP,26.12,127.67,76.53,88,6.93,40
Bahār,IR,34.91,48.44,46.63,73,7.49,100
Lichinga,MZ,-13.31,35.24,66.85,47,6.24,1
Kruisfontein,ZA,-34.0,24.73,57.0,90,1.99,0
Carutapera,BR,-1.2,-46.02,80.35,79,8.14,72
Sosnogorsk,RU,63.6,53.88,32.07,97,6.87,90
Cururupu,BR,-1.83,-44.87,78.08,86,4.54,97
Saraland,US,30.82,-88.07,71.98,87,1.01,91
Sal Rei,CV,16.18,-22.92,77.0,78,12.75,40
Margate,GB,51.38,1.39,51.73,91,1.01,65
Kieta,PG,-6.22,155.63,85.12,65,1.9,19
Saint-Ambroise,CA,48.55,-71.33,40.08,65,1.57,100
Meulaboh,ID,4.14,96.13,75.92,84,3.06,100
Bredasdorp,ZA,-34.53,20.04,60.8,72,16.11,2
Bambous Virieux,MU,-20.34,57.76,72.28,78,8.05,75
Calabozo,VE,8.92,-67.43,77.49,90,2.91,81
Norheimsund,NO,60.37,6.15,45.32,95,1.01,99
Honningsvåg,NO,70.98,25.97,40.62,75,33.67,100
Upernavik,GL,72.79,-56.15,0.0,78,7.49,0
Mossamedes,AO,-15.2,12.15,69.91,67,10.18,11
Pacific Grove,US,36.62,-121.92,55.35,71,11.41,75
Saint-Joseph,RE,-21.37,55.62,69.8,73,6.93,20
Taman',RU,45.21,36.72,50.0,81,8.95,49
Gunjur,GM,13.2,-16.73,80.6,83,3.36,0
Choma,ZM,-16.81,26.95,74.89,31,3.53,11
Komyshuvakha,UA,47.72,35.53,41.0,93,6.71,82
Chui,UY,-33.7,-53.46,60.28,93,6.69,8
Port Hardy,CA,50.7,-127.42,45.3,56,19.46,20
Saint-Pierre,RE,-21.34,55.48,65.25,73,6.93,20
Santarém,BR,-2.44,-54.71,82.4,83,4.7,0
Ennis,IE,52.84,-8.99,53.8,93,10.29,90
Luchegorsk,RU,46.48,134.26,30.09,96,2.59,83
Constitución,CL,-35.33,-72.42,59.86,68,13.78,0
Abbeville,FR,50.1,1.83,49.21,93,6.93,0
Hong Kong,HK,22.29,114.16,72.86,56,7.0,41
Dikson,RU,73.51,80.55,-2.88,89,12.95,89
Sørland,NO,67.67,12.69,40.68,69,15.5,100
Pochutla,MX,15.74,-96.47,85.48,62,4.81,20
Lagoa,PT,39.05,-27.98,61.23,75,17.69,1
Mayo,US,38.89,-76.51,57.9,82,3.65,1
Cidreira,BR,-30.18,-50.21,67.86,84,16.04,27
Pavino,RU,59.11,46.14,35.96,93,11.36,98
Vostok,RU,46.49,135.88,23.72,98,0.67,97
Vila Praia de Âncora,PT,41.81,-8.85,58.42,100,12.75,75
Varhaug,NO,58.61,5.65,42.01,99,3.0,83
Noshiro,JP,40.2,140.02,51.8,93,3.36,40
Nyurba,RU,63.28,118.33,-6.23,90,4.63,18
Libertador General San Martín,AR,-23.81,-64.79,80.89,29,4.76,80
Esperance,AU,-33.87,121.9,60.8,87,9.17,40
Polunochnoye,RU,60.87,60.42,28.44,96,5.53,58
Furmanov,RU,57.25,41.11,44.6,81,15.66,0
Bengkulu,ID,-3.8,102.27,75.78,84,4.0,75
Furano,JP,43.28,142.47,44.6,65,5.82,75
Constantine,DZ,36.37,6.61,60.8,48,3.36,0
Ust'-Donetskiy,RU,47.64,40.87,43.56,84,8.46,0
Mandalgovi,MN,45.76,106.27,25.57,70,8.68,0
Erenhot,CN,43.65,111.98,27.05,79,6.22,0
Lüderitz,NA,-26.65,15.16,61.79,86,5.55,0
Igrim,RU,63.19,64.42,32.32,98,5.57,100
Awjilah,LY,29.11,21.29,62.01,81,10.85,0
Hanover,DE,52.37,9.73,43.14,93,4.7,0
Tutóia,BR,-2.76,-42.27,81.72,77,14.88,92
Baghdad,IQ,33.34,44.4,68.0,52,9.17,0
Pánuco,MX,22.05,-98.17,78.8,74,4.7,5
Waterloo,CA,43.47,-80.52,56.05,71,5.82,1
Koungheul,SN,13.98,-14.8,89.01,23,5.95,11
Ongandjera,NA,-17.88,15.07,77.02,24,13.15,6
Santa Fe,AR,-31.63,-60.7,81.48,41,1.99,3
São Miguel do Araguaia,BR,-13.28,-50.16,79.39,58,2.15,99
Karlskrona,SE,56.16,15.59,44.6,93,4.7,72
Port Elizabeth,ZA,-33.92,25.57,60.8,93,6.93,0
Caratinga,BR,-19.79,-42.14,69.42,91,5.7,11
Geraldton,AU,-28.77,114.6,69.8,68,9.17,90
Hauterive,FR,46.09,3.45,59.13,67,8.05,0
São Filipe,CV,14.9,-24.5,79.32,77,10.25,47
Makkah al Mukarramah,SA,21.43,39.83,76.8,63,3.2,1
Sinjai,ID,-5.12,120.25,79.48,61,3.15,83
Fengzhen,CN,40.44,113.15,26.29,78,2.77,0
São João da Barra,BR,-21.64,-41.05,73.85,84,7.18,60
Pyn U Lwin,MM,22.03,96.47,71.6,94,2.24,40
Jiuquan,CN,39.74,98.52,30.65,69,2.68,10
Lagos,NG,6.58,3.75,80.6,88,5.01,20
Nelson Bay,AU,-32.72,152.15,65.08,55,10.29,40
Gurupi,BR,-11.73,-49.07,75.09,78,3.67,100
Lavrentiya,RU,65.58,-171.0,29.59,95,7.85,54
Norman Wells,CA,65.28,-126.83,26.6,100,4.7,75
Mwene-Ditu,CD,-7.0,23.45,65.68,100,4.47,99
Salisbury,GB,51.07,-1.8,50.0,100,9.17,81
Broome,US,42.25,-75.83,57.9,45,5.82,1
Pathein,MM,16.78,94.73,73.44,92,5.48,0
Visnes,NO,59.36,5.22,43.72,100,8.05,91
Hamilton,US,39.18,-84.53,60.31,67,1.63,1
Qingdao,CN,36.1,120.37,45.77,80,2.24,0
Olafsvik,IS,64.89,-23.71,41.02,69,27.98,74
Port Lincoln,AU,-34.73,135.87,63.54,64,16.58,50
Belaya Gora,RU,68.53,146.42,-3.17,92,2.15,99
Taltal,CL,-25.4,-70.48,61.39,71,3.65,61
Codrington,AU,-38.27,141.97,55.13,72,8.59,18
Yashkul',RU,46.17,45.34,46.17,68,13.51,82
Artyom,AZ,40.47,50.33,51.8,93,6.93,90
Saldanha,ZA,-33.01,17.94,60.8,87,12.75,3
Marabá,BR,-5.37,-49.12,84.2,70,3.36,20
Brae,GB,60.4,-1.35,39.2,100,1.12,26
Nizwá,OM,22.93,57.53,66.29,77,1.25,18
Katherine,AU,-14.47,132.27,89.6,43,6.93,14
Cedar City,US,37.68,-113.06,42.8,60,10.29,1
Abashiri,JP,44.02,144.27,46.4,93,4.7,20
Eyl,SO,7.98,49.82,78.84,75,13.87,70
Tak Bai,TH,6.26,102.05,77.0,94,3.36,40
Chokurdakh,RU,70.63,147.92,1.69,95,5.53,100
Hobyo,SO,5.35,48.53,79.23,80,9.78,68
Los Llanos de Aridane,ES,28.66,-17.92,66.2,63,9.17,0
Saint Paul Harbor,US,57.79,-152.41,42.8,81,11.41,90
Beloha,MG,-25.17,45.05,71.96,66,5.03,0
Burnie,AU,-41.07,145.92,55.06,67,8.57,3
Samarai,PG,-10.62,150.67,81.99,80,8.48,26
Port-Cartier,CA,50.03,-66.87,29.57,90,5.82,34
Bras-Panon,RE,-21.0,55.68,66.67,78,13.87,90
Biak,ID,-0.91,122.88,79.05,76,7.14,97
Comodoro Rivadavia,AR,-45.87,-67.5,62.6,63,9.17,0
Khovd,MN,48.01,91.64,26.73,90,0.47,41
Tuatapere,NZ,-46.13,167.68,54.0,49,8.01,46
Nuuk,GL,64.18,-51.72,21.09,92,13.87,100
Kiryat Gat,IL,31.61,34.76,63.01,83,1.43,59
Tegul'det,RU,57.31,88.17,36.32,83,8.63,88
Rāzampeta,IN,14.18,79.17,72.88,91,1.81,3
Kogon,UZ,39.72,64.55,53.6,34,6.93,0
Narsaq,GL,60.92,-46.05,28.4,74,7.23,100
Seydi,TM,39.48,62.91,54.63,39,10.89,100
La Asuncion,VE,11.03,-63.86,84.2,79,14.99,25
Naze,JP,28.37,129.48,73.4,83,11.41,75
Redcar,GB,54.62,-1.06,41.72,93,2.24,90
Fort Nelson,CA,58.81,-122.7,15.8,78,2.35,20
Sidi Ali,DZ,36.1,0.42,63.03,72,1.74,0
Ahipara,NZ,-35.17,173.17,65.12,69,12.73,25
Kibre Mengist,ET,5.88,38.98,59.49,96,1.41,99
Alice Springs,AU,-23.7,133.88,75.2,15,10.29,46
Torbay,CA,47.67,-52.73,38.84,86,19.46,90
Poum,NC,-20.23,164.02,77.31,76,15.08,10
Ichtegem,BE,51.12,3.03,45.61,93,5.82,44
Taraz,KZ,42.9,71.37,50.0,18,4.47,75
Nouadhibou,MR,20.93,-17.03,73.4,69,16.11,58
Usinsk,RU,65.99,57.53,31.28,99,11.56,100
Banda Aceh,ID,5.56,95.32,77.74,80,3.8,98
Batemans Bay,AU,-35.72,150.18,59.05,63,1.99,2
Abu Dhabi,AE,24.47,54.37,74.97,73,3.36,0
Udachny,RU,66.42,112.4,-0.4,84,6.71,0
Peski,RU,55.22,38.76,41.0,93,6.71,0
Ola,RU,59.58,151.28,11.43,87,15.73,100
Port Blair,IN,11.67,92.75,81.0,80,8.14,0
Ust'-Kut,RU,56.79,105.77,20.77,95,4.54,100
Padang,ID,-0.95,100.35,76.84,84,5.79,100
Zeya,RU,53.75,127.27,9.01,83,7.29,48
Kunduz,AF,36.73,68.86,55.67,36,1.92,15
Okhotsk,RU,59.38,143.3,10.08,89,14.99,93
Mayumba,GA,-3.43,10.66,77.81,89,7.72,89
Lebu,CL,-37.62,-73.65,54.43,73,22.68,0
Lodja,CD,-3.48,23.43,68.18,91,1.1,40
Abu Samrah,SY,35.3,37.18,60.76,63,6.69,0
Karratha,AU,-20.74,116.85,76.06,53,9.19,0
Gubkinskiy,RU,64.43,76.5,33.91,98,6.67,100
Ucluelet,CA,48.93,-125.55,50.65,40,9.17,20
Palmer,US,42.16,-72.33,56.01,75,4.07,59
Vila Franca do Campo,PT,37.72,-25.43,59.0,67,6.93,20
Santa Rosa,PH,14.31,121.11,76.68,88,12.75,75
Östersund,SE,63.18,14.64,37.2,86,5.82,91
Soldotna,US,60.49,-151.06,25.12,85,8.05,90
Rusape,ZW,-18.53,32.13,70.59,33,6.64,1
Sørkjosen,NO,69.8,20.93,34.38,87,31.0,100
Kahului,US,20.89,-156.47,82.53,49,19.46,40
Viedma,AR,-40.81,-63.0,61.0,68,1.99,65
Kamenka,RU,51.32,42.77,37.0,92,9.37,1
Alta Floresta,BR,-9.88,-56.09,79.7,65,3.83,77
Dunda,TZ,-8.12,34.25,67.87,59,1.39,17
Ancud,CL,-41.87,-73.82,56.39,48,16.11,0
Mortka,RU,59.33,66.02,34.0,96,3.96,100
Beringovskiy,RU,63.05,179.32,30.11,93,9.84,91
Arraial do Cabo,BR,-22.97,-42.03,72.64,75,6.15,37
Horgen,CH,47.26,8.6,41.36,100,2.24,90
College,US,64.86,-147.8,24.96,79,4.7,75
Bielsk Podlaski,PL,52.77,23.19,45.66,85,1.99,0
Ilhabela,BR,-23.78,-45.36,68.81,74,4.23,38
High Level,CA,58.52,-117.14,17.6,72,3.36,75
Mocuba,MZ,-16.84,36.99,77.2,61,3.51,43
Saryg-Sep,RU,51.5,95.6,23.7,95,3.22,6
Lata,PT,40.16,-8.33,60.3,87,8.05,20
Chiredzi,ZW,-21.05,31.67,81.5,41,6.46,0
Thomasville,US,35.88,-80.08,62.78,82,3.4,0
Asilah,MA,35.47,-6.03,59.0,93,4.7,40
Codajás,BR,-3.84,-62.06,80.46,77,2.37,76
Makakilo City,US,21.35,-158.09,83.71,66,8.05,90
Lorengau,PG,-2.02,147.27,84.09,64,7.25,100
Tiarei,PF,-17.53,-149.33,84.11,70,16.11,75
Dunshaughlin,IE,53.51,-6.54,51.21,93,4.7,75
Baillif,GP,16.02,-61.75,78.8,83,3.36,18
Provideniya,RU,64.38,-173.3,28.8,93,2.44,12
Lasem,ID,-6.69,111.45,77.76,83,6.58,8
Aswān,EG,24.09,32.91,67.84,46,6.76,94
Khani,GE,41.96,42.96,53.6,93,11.41,40
Aloleng,PH,16.13,119.78,80.04,84,10.8,100
Souillac,MU,-20.52,57.52,73.4,78,8.05,75
Tateyama,JP,34.98,139.87,64.85,64,6.93,75
Dhārchula,IN,29.85,80.53,50.38,44,4.18,0
Caruray,PH,10.31,119.01,78.8,94,6.93,90
Syriam,MM,16.77,96.24,75.2,94,3.36,75
Half Moon Bay,US,37.46,-122.43,57.83,66,11.41,20
‘Āhuimanu,US,21.44,-157.84,83.61,66,10.29,90
Baykit,RU,61.67,96.37,21.79,95,3.31,100
Sovkhoznyy,RU,45.29,38.11,49.48,81,8.95,71
Kisi,NG,9.08,3.85,75.33,34,1.48,59
Daru,PG,-9.08,143.21,78.67,87,3.36,98
Lillooet,CA,50.69,-121.94,40.26,48,14.99,90
Bereda,ES,43.27,-7.54,53.51,100,3.49,1
Leshukonskoye,RU,64.9,45.76,32.83,97,8.59,100
Turukhansk,RU,65.82,87.98,20.08,97,18.21,100
Zhelyabovka,UA,45.4,34.76,45.88,86,5.86,1
Roebourne,AU,-20.78,117.13,77.99,46,8.12,0
Bandarbeyla,SO,9.49,50.81,75.43,84,12.91,89
Riohacha,CO,11.54,-72.91,80.11,83,6.33,99
Nové Hrady,CZ,48.79,14.78,35.94,94,2.21,0
Antalaha,MG,-14.9,50.28,74.12,90,7.7,98
Inhambane,MZ,-23.86,35.38,77.38,79,10.31,5
Kargasok,RU,59.06,80.86,36.28,82,12.03,100
Gogrial,SS,8.53,28.1,76.59,41,0.98,0
Kupang,ID,-10.17,123.58,83.91,60,2.84,76
Baiyin,CN,36.56,104.21,26.6,49,2.24,0
Xapuri,BR,-10.65,-68.5,85.03,46,2.01,92
Shenzhen,CN,22.55,114.07,73.18,66,1.01,32
Buckeye,US,33.37,-112.58,69.78,19,17.22,90
Anadyr,RU,64.75,177.48,21.09,85,2.24,75
Chul'man,RU,56.85,124.91,-4.77,90,5.08,100
Mariehamn,AX,60.1,19.93,46.4,87,6.93,0
Boden,SE,65.83,21.69,35.6,69,3.36,0
Goderich,CA,43.75,-81.72,60.8,55,9.17,100
Sambava,MG,-14.27,50.17,75.02,85,9.82,100
Vestmannaeyjar,IS,63.44,-20.27,44.62,70,20.29,89
Alofi,NU,-19.06,-169.92,82.4,69,13.87,25
Dingle,PH,11.0,122.67,75.58,87,0.31,80
Alizai,PK,33.54,70.35,52.57,39,1.7,8
Abong Mbang,CM,3.98,13.18,68.02,93,0.96,66
Grenfell,AU,-33.9,148.17,61.0,61,10.36,1
Laohekou,CN,32.39,111.67,54.18,47,3.2,0
Cap-Haïtien,HT,19.76,-72.2,80.74,76,5.12,98
Masuguru,TZ,-11.37,38.42,78.22,67,5.26,84
Ardakān,IR,32.31,54.02,53.6,12,2.24,0
La Ronge,CA,55.1,-105.28,21.2,79,12.75,100
Saint-François,FR,46.42,3.91,58.08,67,5.82,0
Kishtwār,IN,33.32,75.77,43.2,44,4.59,0
Esna,EG,25.29,32.55,65.03,49,5.14,71
Akdepe,TM,42.06,59.38,49.12,81,6.93,90
Rio Grande,BR,-32.03,-52.1,63.41,90,10.76,35
Vanimo,PG,-2.67,141.3,75.56,90,6.04,100
Knyaze-Volkonskoye,RU,48.46,135.46,26.6,92,4.47,90
Nicolás Bravo,MX,18.45,-88.92,82.4,78,9.17,40
Krasnyy Luch,UA,48.14,38.94,42.04,86,6.91,16
Şile,TR,41.18,29.61,57.99,77,13.69,80
Río Gallegos,AR,-51.62,-69.22,66.2,32,24.16,40
Benguela,AO,-12.58,13.41,76.01,72,5.53,63
Summerville,US,33.02,-80.18,69.67,94,6.58,75
Provost,CA,52.35,-110.27,30.2,100,9.17,100
Zanzibar,TZ,-6.16,39.2,76.01,89,4.36,18
Chimoio,MZ,-19.12,33.48,75.09,69,4.7,0
Piteå,SE,65.32,21.48,35.6,69,3.36,0
Bowen,AU,-20.02,148.23,80.6,74,12.75,40
Tura,IN,25.52,90.22,63.41,88,4.21,0
Magadan,RU,59.57,150.8,10.85,86,15.32,100
San Cristobal,VE,7.77,-72.22,80.6,78,8.05,75
Beckley,US,37.78,-81.19,59.72,42,6.93,1
Basco,PH,20.45,121.97,80.46,84,23.8,89
Raja,SS,8.46,25.68,73.17,41,1.01,13
Broken Hill,AU,-31.95,141.43,68.0,30,14.99,0
Vila Velha,BR,-20.33,-40.29,76.46,83,4.7,90
Alcântara,BR,-2.41,-44.41,82.4,83,12.75,40
Chardara,KZ,41.25,67.97,63.79,28,14.47,52
Calamar,CO,10.25,-74.91,82.4,83,3.36,40
Ganzhou,CN,28.82,115.43,57.18,52,5.28,0
Leh,IN,34.17,77.58,27.27,61,4.36,0
Soyo,AO,-6.13,12.37,77.92,86,8.23,99
Morón,AR,-34.65,-58.62,70.86,55,5.99,24
Diego de Almagro,CL,-26.37,-70.05,67.15,37,6.4,20
George Town,MY,5.41,100.34,77.9,94,3.36,20
Necaxa,MX,20.22,-98.0,61.88,90,2.66,99
Moree,AU,-29.47,149.85,73.4,43,16.11,75
Mishan,CN,45.55,131.88,30.38,97,2.71,98
Avesta,SE,60.15,16.17,44.01,94,1.99,97
Caniço,PT,32.63,-16.85,62.42,77,2.24,20
Dalaba,GN,10.7,-12.25,65.59,62,1.19,0
Xai-Xai,MZ,-25.05,33.64,84.96,39,10.8,0
Ayna,PE,-12.65,-73.92,63.64,70,0.51,30
Waipawa,NZ,-41.41,175.52,50.63,76,40.26,100
Bubaque,GW,11.28,-15.83,84.81,78,14.72,0
Castelo do Piauí,BR,-5.32,-41.55,85.17,41,4.83,54
Panjāb,AF,34.39,67.02,25.63,79,0.51,0
Sitārganj,IN,28.93,79.7,60.42,56,2.42,0
Nantucket,US,41.28,-70.1,58.53,82,10.29,1
Gisors,FR,49.28,1.78,49.06,93,3.36,12
Acajutla,SV,13.59,-89.83,76.57,78,3.36,40
Haines Junction,CA,60.75,-137.51,-2.2,70,1.12,91
Kisangani,CD,0.52,25.2,71.2,98,2.8,85
Uarini,BR,-2.99,-65.11,78.8,83,3.36,40
Egvekinot,RU,66.32,-179.17,21.88,98,5.26,100
North Bend,US,43.41,-124.22,52.3,62,13.87,75
Marquette,US,46.53,-87.63,60.37,68,11.41,1
Darapidap,PH,17.21,120.41,76.75,78,5.35,100
Chapais,CA,49.78,-74.85,32.0,98,5.82,90
Gaza,PS,31.5,34.47,65.59,77,2.24,40
Aklavik,CA,68.22,-135.01,28.4,63,6.93,40
Winslow,US,35.02,-110.7,66.2,41,35.57,75
Hīt,IQ,33.64,42.83,66.16,50,9.51,78
Abnūb,EG,27.27,31.15,62.02,53,5.59,6
Pandan,PH,14.05,124.17,79.74,83,6.93,91
Moindou,NC,-21.69,165.68,78.8,61,11.41,90
Mahajanga,MG,-15.72,46.32,75.2,88,4.7,20
Laguna,US,38.42,-121.42,61.93,36,4.7,1
São José da Coroa Grande,BR,-8.9,-35.15,77.74,82,12.41,15
Gornopravdinsk,RU,60.05,69.9,34.57,97,5.21,100
Bermeo,ES,43.42,-2.72,55.63,67,4.7,16
Atagay,RU,55.1,99.39,39.83,85,6.2,100
Namatanai,PG,-3.67,152.43,85.03,65,4.85,55
Alvarães,BR,-3.22,-64.8,78.8,83,3.36,40
Sharjah city,AE,25.36,55.4,78.13,65,5.82,0
Kawerau,NZ,-38.1,176.7,68.97,77,7.0,54
Pangnirtung,CA,66.15,-65.71,4.59,87,3.53,96
KwaDukuza,ZA,-29.33,31.29,69.8,94,2.24,75
Fort Smith,US,35.39,-94.4,71.87,53,8.05,20
Hambantota,LK,6.12,81.12,78.85,80,9.19,1
Sioni,GE,41.99,45.02,51.8,62,29.97,0
Bud,US,39.45,-86.18,61.29,45,3.36,1
Pemba,MZ,-12.97,40.52,77.0,83,4.7,20
Garachiné,PA,8.06,-78.36,77.32,80,10.63,23
